nRandomListId	nMustReward	nProbability	szReward
11	0	10	item:brand_1:1
11	0	10	item:buffitem_1:1
11	0	10	item:buffitem_2:1
11	0	10	item:buffitem_3:1
11	0	10	item:buffitem_4:1
11	0	10	item:buffitem_5:1
21	0	70000	money:1000
21	0	2500	equip:1:1
21	0	2500	equip:2:1
21	0	2500	equip:3:1
21	0	2500	equip:101:1
21	0	2500	equip:102:1
21	0	2500	equip:103:1
21	0	2500	equip:201:1
21	0	2500	equip:202:1
21	0	2500	equip:203:1
21	0	2500	equip:301:1
21	0	2500	equip:302:1
21	0	2500	equip:303:1
22	0	40000	money:3000
22	0	4000	equip:1:1
22	0	4000	equip:2:1
22	0	4000	equip:3:1
22	0	4000	equip:101:1
22	0	4000	equip:102:1
22	0	4000	equip:103:1
22	0	4000	equip:201:1
22	0	4000	equip:202:1
22	0	4000	equip:203:1
22	0	4000	equip:301:1
22	0	4000	equip:302:1
22	0	4000	equip:303:1
22	0	1000	equip:4:1
22	0	1000	equip:10:1
22	0	1000	equip:16:1
22	0	1000	equip:104:1
22	0	1000	equip:110:1
22	0	1000	equip:116:1
22	0	1000	equip:204:1
22	0	1000	equip:210:1
22	0	1000	equip:216:1
22	0	1000	equip:304:1
22	0	1000	equip:310:1
22	0	1000	equip:316:1
23	0	24400	money:5000
23	0	4000	equip:1:1
23	0	4000	equip:2:1
23	0	4000	equip:3:1
23	0	4000	equip:101:1
23	0	4000	equip:102:1
23	0	4000	equip:103:1
23	0	4000	equip:201:1
23	0	4000	equip:202:1
23	0	4000	equip:203:1
23	0	4000	equip:301:1
23	0	4000	equip:302:1
23	0	4000	equip:303:1
23	0	2000	equip:4:1
23	0	2000	equip:10:1
23	0	2000	equip:16:1
23	0	2000	equip:104:1
23	0	2000	equip:110:1
23	0	2000	equip:116:1
23	0	2000	equip:204:1
23	0	2000	equip:210:1
23	0	2000	equip:216:1
23	0	2000	equip:304:1
23	0	2000	equip:310:1
23	0	2000	equip:316:1
23	0	300	equip:22:1
23	0	300	equip:28:1
23	0	300	equip:34:1
23	0	300	equip:122:1
23	0	300	equip:128:1
23	0	300	equip:134:1
23	0	300	equip:222:1
23	0	300	equip:228:1
23	0	300	equip:234:1
23	0	300	equip:322:1
23	0	300	equip:328:1
23	0	300	equip:334:1
24	0	20800	money:8000
24	0	4000	equip:1:1
24	0	4000	equip:2:1
24	0	4000	equip:3:1
24	0	4000	equip:101:1
24	0	4000	equip:102:1
24	0	4000	equip:103:1
24	0	4000	equip:201:1
24	0	4000	equip:202:1
24	0	4000	equip:203:1
24	0	4000	equip:301:1
24	0	4000	equip:302:1
24	0	4000	equip:303:1
24	0	2000	equip:4:1
24	0	2000	equip:10:1
24	0	2000	equip:16:1
24	0	2000	equip:104:1
24	0	2000	equip:110:1
24	0	2000	equip:116:1
24	0	2000	equip:204:1
24	0	2000	equip:210:1
24	0	2000	equip:216:1
24	0	2000	equip:304:1
24	0	2000	equip:310:1
24	0	2000	equip:316:1
24	0	500	equip:22:1
24	0	500	equip:28:1
24	0	500	equip:34:1
24	0	500	equip:122:1
24	0	500	equip:128:1
24	0	500	equip:134:1
24	0	500	equip:222:1
24	0	500	equip:228:1
24	0	500	equip:234:1
24	0	500	equip:322:1
24	0	500	equip:328:1
24	0	500	equip:334:1
24	0	100	equip:40:1
24	0	100	equip:46:1
24	0	100	equip:52:1
24	0	100	equip:140:1
24	0	100	equip:146:1
24	0	100	equip:152:1
24	0	100	equip:240:1
24	0	100	equip:246:1
24	0	100	equip:252:1
24	0	100	equip:340:1
24	0	100	equip:346:1
24	0	100	equip:352:1
25	0	8333	equip:58:1
25	0	8333	equip:64:1
25	0	8333	equip:70:1
25	0	8333	equip:158:1
25	0	8333	equip:164:1
25	0	8333	equip:170:1
25	0	8333	equip:258:1
25	0	8333	equip:264:1
25	0	8333	equip:270:1
25	0	8333	equip:358:1
25	0	8333	equip:364:1
25	0	8333	equip:370:1
26	0	70000	money:1000
26	0	8000	equip:401:1
26	0	8000	equip:402:1
26	0	8000	equip:403:1
26	0	1500	equip:405:1
26	0	1500	equip:411:1
26	0	1500	equip:417:1
26	0	1500	equip:423:1
27	0	56000	money:3000
27	0	12000	equip:401:1
27	0	12000	equip:402:1
27	0	12000	equip:403:1
27	0	2000	equip:405:1
27	0	2000	equip:411:1
27	0	2000	equip:417:1
27	0	2000	equip:423:1
28	0	41000	money:5000
28	0	15000	equip:401:1
28	0	15000	equip:402:1
28	0	15000	equip:403:1
28	0	3000	equip:405:1
28	0	3000	equip:411:1
28	0	3000	equip:417:1
28	0	3000	equip:423:1
28	0	500	equip:429:1
28	0	500	equip:435:1
28	0	500	equip:441:1
28	0	500	equip:447:1
29	0	7999	money:8000
29	0	16000	equip:401:1
